"id","code","name"
forma_133,133,"133 - Polvo liofilizado para suspensión inyectable de liberación prolongada"
forma_134,134,"134 - Polvo liofilizado para uso parenteral"
forma_135,135,"135 - Polvo para concentrado para solución para infusión"
forma_136,136,"136 - Polvo para concentrado para solución para infusión intravenosa"
forma_137,137,"137 - Polvo para concentrado para solución para perfusión"
forma_138,138,"138 - Polvo para concentrado para solución para perfusión intravenoso"
forma_139,139,"139 - Polvo para infusion"
forma_140,140,"140 - Polvo para inhalacion"
forma_141,141,"141 - Polvo para inhalación en cápsulas"
forma_142,142,"142 - Polvo para inhalacion en capsulas duras"
forma_143,143,"143 - Polvo para solucion"
forma_144,144,"144 - Polvo para solución estéril inyectable"
forma_145,145,"145 - Polvo para solucion inyectable"
forma_146,146,"146 - Polvo para solucion oral"
forma_147,147,"147 - Polvo para solución para infusión"
forma_148,148,"148 - Polvo para solución para perfusión"
forma_149,149,"149 - Polvo para suspensión"
forma_150,150,"150 - Polvo para suspension inyectable"
forma_151,151,"151 - Polvo para suspensión oral"
forma_152,152,"152 - Polvo para suspensión oral y rectal"
forma_153,153,"153 - Polvo topico"
forma_154,154,"154 - Polvo y disolvente para solución inyectable."
forma_155,155,"155 - Pomada"
forma_156,156,"156 - Sistema de liberación vaginal"
forma_157,157,"157 - Sistema intrauterino de liberación"
forma_158,158,"158 - Solución"
forma_159,159,"159 - Solución anestésica inhalatoria"
forma_160,160,"160 - Solucion concentrada"
forma_161,161,"161 - Solución concentrada para infusión"
forma_162,162,"162 - Solución de infusión para aplicación intravenosa"
forma_163,163,"163 - Solución en aerosol"
forma_164,164,"164 - Solución en spray"
forma_165,165,"165 - Solución estéril"
forma_166,166,"166 - Solución estéril para inyección"
forma_167,167,"167 - Solución gotas"
forma_168,168,"168 - Solución intraocular"
forma_169,169,"169 - Solucion inyectable"
forma_170,170,"170 - Solución inyectable concentrada"
forma_171,171,"171 - Solución inyectable concentrado para infusión"
forma_172,172,"172 - Solución inyectable de liberación prolongada"
forma_173,173,"173 - Solucion inyectable para infusion"
forma_174,174,"174 - Solución oftálmica"
forma_175,175,"175 - Solución oleosa inyectable"
forma_176,176,"176 - Solucion oral"
forma_177,177,"177 - Solucion para dialisis peritoneal"
forma_178,178,"178 - Solucion para hemodialisis"
forma_179,179,"179 - Solución para infusión  intravenosa"
forma_180,180,"180 - Solucion para inhalacion"
forma_181,181,"181 - Solucion para irrigacion"
forma_182,182,"182 - Solucion para nebulizacion"
forma_183,183,"183 - Solución para perfusión"
forma_184,184,"184 - Solucion para uñas"
forma_185,185,"185 - Solucion rectal"
forma_186,186,"186 - Spray solución nasal"
forma_187,187,"187 - Supositorio"
forma_188,188,"188 - Suspension"
forma_189,189,"189 - Suspensión  para inhalación"
forma_190,190,"190 - Suspensión acuosa"
forma_191,191,"191 - Suspensión en aerosol"
forma_192,192,"192 - Suspensión en spray"
forma_193,193,"193 - Suspensión estéril"
forma_194,194,"194 - Suspensión inyectable"
forma_195,195,"195 - Suspensión inyectable de liberación prolongada"
forma_196,196,"196 - Suspension oral"
forma_197,197,"197 - Suspensión para inhalación"
forma_198,198,"198 - Suspensión presurizada"
forma_199,199,"199 - Tableta"
forma_200,200,"200 - Tableta bicapa"
forma_201,201,"201 - Tableta con capa entérica"
forma_202,202,"202 - Tableta con cubierta entérica"
forma_203,203,"203 - Tableta cubierta"
forma_204,204,"204 - Tableta de acción prolongada"
forma_205,205,"205 - Tableta de liberacion prolongada"
forma_206,206,"206 - Tableta de liberación retardada."
forma_207,207,"207 - Tableta dispersable"
forma_208,208,"208 - Tableta efervescente"
forma_209,209,"209 - Tableta masticable"
forma_210,210,"210 - Tableta orodispersable"
forma_211,211,"211 - Tableta para chupar"
forma_212,212,"212 - Tableta ranurada"
forma_213,213,"213 - Tableta recubierta"
forma_214,214,"214 - Tableta recubierta con película"
forma_215,215,"215 - Tableta recubierta de liberación extendida"
forma_216,216,"216 - Tableta recubierta de liberacion modificada"
forma_217,217,"217 - Tableta recubierta de liberación prolongada"
forma_218,218,"218 - Tableta recubierta entérica"
forma_219,219,"219 - Tableta recubierta gastrorresistente"
forma_220,220,"220 - Tableta revestida"
forma_221,221,"221 - Tableta sublingual"
forma_222,222,"222 - Tabletas de disolución oral instantánea"
forma_223,223,"223 - Tabletas de liberación extendida"
forma_224,224,"224 - Tabletas dispersables / masticables"
forma_225,225,"225 - Tabletas laqueadas"
forma_226,226,"226 - Tabletas recubiertas de acción prolongada"
forma_227,227,"227 - Tabletas recubiertas de liberacion retardada"
forma_228,228,"228 - Tintura"
forma_229,229,"229 - Unguento"
